iter	RMSE
0	96396.44132
1	86787.06448
2	78927.58916
3	73077.4972
4	68370.57463
5	64618.81909
6	61822.19134
7	59805.65686
8	57794.03244
9	56760.7396
10	55591.24669
11	54316.59297
12	53164.39949
13	52202.06854
14	51753.9413
15	51323.88849
16	50787.51953
17	50585.61592
18	50181.28331
19	49707.84213
20	49326.35034
21	49176.25592
22	48954.43084
23	48783.896
24	48626.88887
25	48455.53797
26	48058.72717
27	47770.70842
28	47560.06408
29	47333.1856
30	47128.27145
31	47040.99678
32	46929.83356
33	46738.90953
34	46673.75687
35	46612.46266
36	46480.33845
37	46373.46551
38	46049.77667
39	45880.6323
40	45876.39479
41	45813.6991
42	45709.4087
43	45557.00251
44	45437.14316
45	45337.97721
46	45220.47153
47	45148.76396
48	45120.21315
49	45032.84388
50	44811.81871
51	44634.08725
52	44520.85864
53	44482.79668
54	44368.22782
55	44308.87598
56	44063.17876
57	43936.64856
58	43788.88935
59	43763.4838
60	43596.83765
61	43519.12305
62	43417.00691
63	43384.87177
64	43247.61092
65	43213.04436
66	43021.88567
67	43004.72021
68	42923.39432
69	42800.30524
70	42510.86448
71	42412.60749
72	42310.49599
73	42204.26034
74	41970.58356
75	41927.8483
76	41809.12623
77	41691.82531
78	41638.58953
79	41560.15981
80	41481.44054
81	41265.37911
82	41246.62815
83	41170.4868
84	41088.08155
85	41006.52153
86	40923.25929
87	40831.55285
88	40744.95969
89	40534.08762
90	40472.10501
91	40410.6997
92	40352.48346
93	40311.63389
94	40301.05247
95	40142.26943
96	40086.50529
97	40046.82844
98	40020.20692
99	39931.71358
100	39812.05725
101	39645.02299
102	39542.07395
103	39485.79911
104	39343.6257
105	39288.31185
106	39201.72557
107	39110.89231
108	39029.73603
109	38889.55217
110	38823.0669
111	38766.4958
112	38673.85631
113	38522.60057
114	38479.6383
115	38308.53533
116	38276.44758
117	38220.13984
118	38164.8432
119	38087.73493
120	38064.03622
121	38039.63134
122	38013.51289
123	37930.9542
124	37878.15531
125	37766.10058
126	37692.57894
127	37640.69579
128	37601.57715
129	37567.62469
130	37515.56055
131	37498.91567
132	37379.44666
133	37300.05203
134	37243.86687
135	37175.56607
136	37118.35726
137	37077.95322
138	37068.68681
139	37055.97286
140	37024.08009
141	36981.9773
142	36915.25922
143	36847.58125
144	36803.26226
145	36757.06731
146	36694.08592
147	36583.12351
148	36543.46296
149	36448.98276
150	36348.43695
151	36320.10658
152	36280.35814
153	36188.30097
154	36136.38372
155	36067.72835
156	35981.41995
157	35959.87234
158	35872.47497
159	35777.27442
160	35725.58812
161	35714.45797
162	35679.8263
163	35657.26783
164	35627.47035
165	35558.62511
166	35503.11587
167	35471.41824
168	35387.86087
169	35374.74881
170	35336.40595
171	35308.93621
172	35264.33488
173	35207.58024
174	35149.30997
175	35049.46321
176	35029.57307
177	34983.12769
178	34920.47731
179	34864.15177
180	34836.19131
181	34821.28036
182	34773.07684
183	34660.2689
184	34640.49397
185	34603.78374
186	34518.23611
187	34447.61264
188	34403.27086
189	34355.2936
190	34343.50448
191	34303.35279
192	34280.93652
193	34235.96208
194	34213.93134
195	34178.10467
196	34103.7569
197	34094.74914
198	34071.11046
199	34043.90607
200	34007.51955
201	33969.02286
202	33931.44034
203	33887.22602
204	33837.4148
205	33796.75608
206	33753.78014
207	33731.35931
208	33692.71754
209	33647.12122
210	33607.8534
211	33560.96407
212	33539.97803
213	33453.02506
214	33429.7332
215	33388.81802
216	33315.74743
217	33223.00223
218	33188.87253
219	33172.31087
220	33148.60008
221	33129.9334
222	33110.09956
223	33076.7333
224	33020.29698
225	32935.22378
226	32877.19245
227	32852.61652
228	32825.75633
229	32788.16371
230	32782.90608
231	32759.50274
232	32731.60994
233	32719.99895
234	32710.67489
235	32690.22169
236	32666.02792
237	32602.03111
238	32574.4747
239	32543.66157
240	32453.35848
241	32445.10206
242	32404.17644
243	32370.81799
244	32326.26514
245	32262.15422
246	32184.64909
247	32146.479
248	32140.83206
249	32110.62607
250	32048.31324
251	31978.00767
252	31890.95577
