iter	Passed	Remaining
0	295	239397
1	544	220093
2	764	205612
3	986	198876
4	1231	198202
5	1453	194773
6	1703	195395
7	2150	215576
8	2941	261804
9	3205	256428
10	3542	257285
11	3890	258707
12	4192	257016
13	4435	252179
14	4681	248102
15	4918	244092
16	5157	240598
17	5354	235610
18	5608	233486
19	5881	232335
20	6133	230448
21	6363	227912
22	6632	226960
23	6902	226052
24	7099	222936
25	7369	222214
26	7589	220099
27	7830	218708
28	8118	218643
29	8357	217296
30	8599	216104
31	8809	214187
32	9064	213420
33	9266	211485
34	9548	211425
35	9782	210316
36	10040	209763
37	10272	208691
38	10552	208614
39	10789	207701
40	10873	203941
41	11064	202317
42	11300	201576
43	11497	200165
44	11712	199110
45	11961	198663
46	12215	198310
47	12499	198424
48	12679	196919
49	12969	197140
50	13261	197358
51	13542	197408
52	13774	196737
53	14027	196385
54	14274	195948
55	14486	195049
56	14722	194493
57	14989	194345
58	15217	193704
59	15463	193293
60	15698	192762
61	15966	192624
62	16198	192065
63	16465	191923
64	16661	190968
65	16894	190442
66	17173	190449
67	17792	194148
68	18203	195485
69	18500	195571
70	18779	195470
71	19034	195098
72	19296	194818
73	19529	194244
74	19775	193795
75	20050	193644
76	20293	193186
77	20547	192831
78	20822	192675
79	21096	192507
80	21367	192305
81	21681	192492
82	21932	192105
83	22181	191715
84	22468	191640
85	22732	191373
86	23004	191178
87	23280	191007
88	23505	190419
89	23775	190206
90	24047	190005
91	24317	189781
92	24568	189413
93	24794	188861
94	25063	188636
95	25355	188583
96	25622	188341
97	25881	188038
98	26197	188145
99	26489	188076
100	26739	187706
101	26994	187375
102	27229	186905
103	27499	186682
104	27779	186520
105	28025	186129
106	28291	185874
107	28695	186523
108	28970	186312
109	29235	186046
110	29510	185837
111	29754	185436
112	29981	184933
113	30246	184662
114	30485	184240
115	30714	183757
116	30952	183333
117	31203	182989
118	31439	182563
119	31674	182125
120	31948	181921
121	32268	181971
122	32780	183089
123	33192	183627
124	33603	184147
125	33924	184162
126	34200	183928
127	34443	183520
128	34693	183147
129	34971	182928
130	35202	182463
131	35474	182209
132	35743	181944
133	35979	181507
134	36193	180967
135	36481	180800
136	36719	180381
137	36962	179989
138	37264	179889
139	37576	179831
140	37885	179756
141	38159	179513
142	38424	179225
143	38663	178817
144	38913	178465
145	39172	178155
146	39438	177876
147	39699	177574
148	39989	177401
149	40265	177167
150	40513	176810
151	40807	176653
152	41041	176238
153	41283	175858
154	41524	175475
155	41799	175235
156	42058	174929
157	42332	174690
158	42592	174390
159	42828	173992
160	43112	173787
161	43400	173603
162	43662	173312
163	43918	172995
164	44174	172680
165	44432	172377
166	44676	172019
167	44936	171720
168	45225	171535
169	45469	171177
170	45712	170822
171	45987	170581
172	46288	170438
173	46588	170287
174	46873	170082
175	47176	169943
176	47743	170744
177	48124	170868
178	48540	171113
179	48835	170924
180	49119	170697
181	49396	170446
182	49675	170200
183	49925	169856
184	50193	169574
185	50453	169261
186	50747	169068
187	51046	168886
188	51332	168662
189	51609	168410
190	51906	168221
191	52158	167886
192	52451	167682
193	52733	167443
194	53026	167238
195	53289	166937
196	53545	166617
197	53788	166256
198	54057	165974
199	54351	165773
200	54577	165362
201	54859	165122
202	55115	164803
203	55401	164573
204	55676	164314
205	55923	163969
206	56190	163686
207	56449	163378
208	56718	163098
209	56971	162775
210	57251	162529
211	57495	162179
212	57746	161852
213	58016	161579
214	58248	161199
215	58536	160974
216	58800	160684
217	59264	160938
218	59533	160657
219	59836	160469
220	60131	160258
221	60440	160085
222	60718	159827
223	60963	159485
224	61212	159152
225	61476	158860
226	61723	158522
227	61924	158070
228	62207	157826
229	62682	158068
230	63048	158030
231	63437	158047
232	63732	157826
233	64078	157731
234	64320	157380
235	64585	157084
236	64836	156756
237	65125	156520
238	65408	156269
239	65645	155907
240	65906	155605
241	66142	155244
242	66386	154902
243	66670	154652
